iata_code,municipality,country
BPI,Big Piney,United States of America
BPT,Beaumont/Port Arthur,United States of America
BQK,Brunswick,United States of America
BRD,Brainerd,United States of America
BRL,Burlington,United States of America
BRO,Brownsville,United States of America
BRW,Utqiaġvik,United States of America
BRY,Bardstown,United States of America
BSF,Waimea (Kamuela),United States of America
BSQ,Bisbee,United States of America
BSW,Boswell Bay,United States of America
BTF,Bountiful,United States of America
BTI,Barter Island,United States of America
BTL,Battle Creek,United States of America
BTM,Butte,United States of America
BTN,Bennettsville,United States of America
BTP,Butler,United States of America
BTR,Baton Rouge,United States of America
BTT,Bettles,United States of America
BTV,South Burlington,United States of America
BTY,Beatty,United States of America
BUB,Burwell,United States of America
BUF,Buffalo,United States of America
BUM,Butler,United States of America
BUR,Burbank,United States of America
BVO,Bartlesville,United States of America
BVU,Beluga,United States of America
BVX,Batesville,United States of America
BVY,Beverly / Danvers,United States of America
BWC,Brawley,United States of America
BWD,Brownwood,United States of America
BWG,Bowling Green,United States of America
BWI,Baltimore,United States of America
BWL,Blackwell,United States of America
BWM,Bowman,United States of America
BXA,Bogalusa,United States of America
BXK,Buckeye,United States of America
BXS,Borrego Springs,United States of America
BYA,Boundary,United States of America
BYG,Buffalo,United States of America
BYH,Blytheville,United States of America
BYI,Burley,United States of America
BYS,Fort Irwin/Barstow,United States of America
BYW,Blakely Island,United States of America
BZF,Redding,United States of America
BZN,Bozeman,United States of America
BZT,Brazoria,United States of America
CAD,Cadillac,United States of America
CAE,Columbia,United States of America
CAK,Akron,United States of America
CAO,Clayton,United States of America
CAR,Caribou,United States of America
CBE,Wiley Ford,United States of America
CBF,Council Bluffs,United States of America
CBK,Colby,United States of America
CBM,Columbus,United States of America
CCB,Upland,United States of America
CCG,Crane,United States of America
CCR,Concord,United States of America
CCY,Charles City,United States of America
CDB,Cold Bay,United States of America
CDC,Cedar City,United States of America
CDH,Camden,United States of America
CDL,Candle,United States of America
CDN,Camden,United States of America
CDR,Chadron,United States of America
CDS,Childress,United States of America
CDV,Cordova,United States of America
CDW,Caldwell,United States of America
CEA,Wichita,United States of America
CEC,Crescent City,United States of America
CEF,Chicopee,United States of America
CEM,Central,United States of America
CEU,Clemson,United States of America
CEV,Connersville,United States of America
CEW,Crestview,United States of America
CEX,Chena Hot Springs,United States of America
CEY,Murray,United States of America
CEZ,Cortez,United States of America
CFD,Bryan,United States of America
